61 2 2 3
8.73 2.59 1 0 0
8.43 0.55 1 0 0
-2.69 -2.24 1 0 0
-6.09 -6.95 1 0 0
6.17 -8.15 1 0 0
-9.65 9.30 1 0 0
6.60 0.31 1 0 0
-4.82 5.74 1 0 0
-2.12 -8.90 1 0 0
0.37 7.47 1 0 0
-5.84 5.54 1 0 0
0.79 -3.07 1 0 0
-9.16 -6.99 1 0 0
8.21 -8.96 1 0 0
4.15 1.01 1 0 0
-9.10 2.15 1 0 0
-7.05 -5.88 1 0 0
-7.52 -8.69 1 0 0
9.99 -4.95 1 0 0
-8.16 -6.20 1 0 0
8.73 2.59 0 1 0
8.43 0.55 0 1 0
-2.69 -2.24 0 1 0
-6.09 -6.95 0 1 0
6.17 -8.15 0 1 0
-9.65 9.30 0 1 0
6.60 0.31 0 1 0
-4.82 5.74 0 1 0
-2.12 -8.90 0 1 0
0.37 7.47 0 1 0
-5.84 5.54 0 1 0
0.79 -3.07 0 1 0
-9.16 -6.99 0 1 0
8.21 -8.96 0 1 0
4.15 1.01 0 1 0
-9.10 2.15 0 1 0
-7.05 -5.88 0 1 0
-7.52 -8.69 0 1 0
9.99 -4.95 0 1 0
-8.16 -6.20 0 1 0
8.73 2.59 0 0 1
8.43 0.55 0 0 1
-2.69 -2.24 0 0 1
-6.09 -6.95 0 0 1
6.17 -8.15 0 0 1
-9.65 9.30 0 0 1
6.60 0.31 0 0 1
-4.82 5.74 0 0 1
-2.12 -8.90 0 0 1
0.37 7.47 0 0 1
-5.84 5.54 0 0 1
0.79 -3.07 0 0 1
-9.16 -6.99 0 0 1
8.21 -8.96 0 0 1
4.15 1.01 0 0 1
-9.10 2.15 0 0 1
-7.05 -5.88 0 0 1
-7.52 -8.69 0 0 1
9.99 -4.95 0 0 1
-8.16 -6.20 0 0 1
